text,label,word_count
"There's a huge pothole right in the middle of Lajpat Nagar main market road that has been there for over a month. It's a serious hazard for two-wheelers, especially after dark. Can the authorities please look into this and repair it before a major accident happens?",0,46
"The garbage collection vehicle has not come to our street in Sector 22 for the past four days. The community bins are overflowing and the waste is spilling onto the road, creating an unbearable smell and attracting stray animals. This is a serious health concern.",1,45
"We are experiencing frequent and unscheduled power cuts in the Malviya Nagar area, sometimes for more than 5 hours a day. This is severely disrupting our work-from-home schedules and affecting household chores. The electricity board's helpline is always busy.",3,39
"The children's play area in the local community park is in a deplorable condition. The swings are broken, the slide has rusted, and the see-saw is missing. It's completely unsafe for our kids. We request urgent maintenance of these public facilities.",2,41
"The traffic signal at the crossing of Nehru Road and Gandhi Marg is malfunctioning. It gets stuck on red for a very long time, causing massive traffic jams during peak hours. It needs immediate technical attention.",0,36
Sewage water is overflowing from a blocked drain near the post office and flooding the entire lane. The filth and stench are making it impossible for residents to even step out of their homes. This needs to be cleaned up on an emergency basis.,1,44
"The high-mast streetlight in our colony has been non-functional for three weeks. The entire area plunges into darkness at night, which has led to a rise in petty thefts and makes it feel unsafe for residents returning late.",0,38
The public water tap installed at the city bus stand is broken and has been leaking continuously for days. Gallons of precious water are being wasted every single hour. It's a shame to see this kind of negligence.,2,38
"An electricity pole on our street is tilted at a dangerous angle after the recent storm. The wires are hanging very low and we are scared it might fall anytime, which could be catastrophic. Please send a team to fix or replace it immediately.",3,44
Someone has illegally dumped a huge pile of construction debris and old furniture on the vacant plot next to my house. It has become a breeding ground for mosquitoes and snakes. The municipal corporation needs to clear this and penalize the offender.,1,42
"The benches at the main bus stop are completely broken, forcing elderly people and women with children to stand while waiting for the bus, sometimes for a very long time. This basic public amenity needs to be restored.",2,38
"For the last two weeks, we've been getting very low voltage electricity at our home. The fans barely rotate and we can't run our appliances like the water motor or the air conditioner. It's causing a lot of hardship in this hot weather.",3,43
"The pavement along the entire stretch of University Road is broken and uneven. It is extremely difficult for pedestrians, especially senior citizens, to walk without the fear of tripping and falling. This needs immediate repair.",0,35
"The public toilet near the railway station is in an absolutely filthy and unusable condition. There's no water, the doors are broken, and it hasn't been cleaned in ages. It's a disgrace for a city that talks about sanitation.",2,39
"I want to report a case of power theft. My neighbors have illegally hooked a wire directly to the main electricity line, bypassing their meter. This is not only illegal but also puts the entire building's wiring at risk of a short circuit.",3,43
"The street sweeping in our area is not being done properly. The sanitation workers just collect the garbage from the main road, completely ignoring the inner lanes which are filled with dry leaves and plastic waste. A supervisor needs to monitor their work.",1,43
"There are no proper road markings or zebra crossings near the new public school. This makes it very dangerous for children to cross the road, given the high volume of speeding traffic. Please install the necessary safety markings.",0,38
